name,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01
7 Days to Die,0.0,8.0,12.0,18.0,10.0,33.0,51.0,34.0,28.0,36.0,31.0,30.0,25.0,21.0,31.0,19.0,18.0,33.0,55.0,31.0,23.0,24.0,33.0,25.0,28.0,31.0,21.0,29.0,29.0,26.0,25.0,20.0,25.0,32.0,43.0,34.0,35.0,28.0,35.0,31.0,35.0,39.0,33.0,31.0,27.0,58.0,51.0,46.0,31.0,39.0,41.0,47.0,42.0,45.0,49.0,44.0,48.0,48.0,41.0,49.0,51.0,47.0,35.0
A Plague Tale: Innocence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,9.0,6.0,7.0,6.0,4.0,6.0,8.0,16.0,8.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,7.0,5.0,7.0,9.0,10.0
A Total War Saga: Troy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0
A Way Out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,68.0,12.0,8.0,5.0,7.0,6.0,7.0,7.0,8.0,9.0,13.0,7.0,9.0,5.0,9.0,6.0,7.0,7.0,7.0,9.0,10.0,7.0,12.0,8.0,10.0,11.0,11.0,14.0,11.0,10.0,7.0,16.0,12.0,16.0,18.0,21.0
ARK: Survival Evolved,37.0,36.0,28.0,24.0,37.0,34.0,34.0,34.0,52.0,32.0,28.0,58.0,58.0,55.0,42.0,40.0,44.0,49.0,48.0,51.0,59.0,43.0,41.0,98.0,67.0,53.0,45.0,43.0,42.0,48.0,55.0,40.0,38.0,42.0,147.0,65.0,44.0,42.0,47.0,48.0,48.0,74.0,76.0,66.0,59.0,57.0,45.0,49.0,70.0,194.0,134.0,85.0,73.0,101.0,68.0,52.0,54.0,68.0,72.0,77.0,99.0,90.0,85.0
ARMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
ASTRONEER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,8.0,9.0,5.0,6.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,21.0,11.0,6.0,4.0,7.0,7.0,4.0,4.0,6.0,5.0,6.0,6.0,7.0,7.0,9.0,6.0,7.0,6.0,7.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0
Absolver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,8.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,7.0,8.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
Agony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,49.0,15.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Albion Online,0.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,0.0,2.0,2.0,2.0,7.0,2.0,3.0,6.0,23.0,15.0,8.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,9.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,11.0,11.0,8.0,7.0,5.0,4.0,6.0,4.0,7.0,5.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,6.0,5.0,6.0,5.0,7.0
