name,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01
SMITE,15389.0,16537.0,24850.0,25390.0,24184.0,20945.0,20195.0,18667.0,16773.0,15885.0,13774.0,4182.0,21572.0,16980.0,12887.0,11834.0,15295.0,13585.0,14294.0,13505.0,10615.0,10955.0,11802.0,11649.0,15013.0,15430.0,14035.0,14234.0,14075.0,13457.0,14410.0,15276.0,12035.0,11146.0,11510.0,13014.0,14319.0,12248.0,14474.0,14557.0,14956.0,12647.0,11937.0,11615.0,10071.0,9415.0,10435.0,11483.0,12954.0,12791.0,14324.0,14382.0,15103.0,14889.0,19476.0,18501.0,16135.0,15667.0,16327.0,16680.0,20972.0,20975.0,20396.0
Saints Row: Gat Out of Hell,320.0,257.0,255.0,199.0,186.0,186.0,9746.0,1328.0,437.0,316.0,233.0,25.0,204.0,182.0,88.0,71.0,144.0,151.0,175.0,169.0,82.0,124.0,99.0,104.0,104.0,80.0,105.0,92.0,107.0,110.0,136.0,116.0,97.0,68.0,61.0,67.0,67.0,61.0,69.0,73.0,71.0,66.0,57.0,72.0,46.0,48.0,41.0,55.0,64.0,38.0,84.0,63.0,101.0,96.0,59.0,59.0,62.0,0.0,0.0,0.0,0.0,0.0,68.0
Satisfactory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14369.0,7576.0,4580.0,3240.0,4243.0,2545.0,1586.0,1523.0,1375.0,1377.0,1631.0,4513.0,5485.0,4054.0,3695.0,7125.0,6267.0,4501.0,3439.0,3417.0,4021.0,4885.0,5464.0,4020.0,6481.0
Sea of Thieves,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,4.0,6.0,4.0,17.0,1.0,31.0,36.0,72.0,11327.0,9729.0,66327.0,33261.0,14657.0,12945.0,9419.0,11118.0,7687.0,7810.0,5951.0,15655.0,39381.0,25920.0,18786.0,15761.0,25264.0,15635.0,12189.0,11280.0,12748.0,11582.0,14791.0,19345.0,18983.0,15832.0,20210.0,23402.0,33764.0,42558.0,33636.0,31000.0,29793.0,24640.0,29024.0,33662.0,49740.0,46006.0,39818.0
Sekiro: Shadows Die Twice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,7.0,4.0,75943.0,63530.0,20473.0,10203.0,7178.0,6360.0,4738.0,4096.0,4834.0,10037.0,10899.0,7186.0,7957.0,8447.0,8659.0,7737.0,9152.0,7158.0,5421.0,6227.0,8791.0,6781.0,7257.0,7421.0,7245.0
Shadow of the Colossus,100.0,76.0,97.0,85.0,98.0,120.0,122.0,132.0,103.0,111.0,116.0,49.0,114.0,62.0,78.0,83.0,90.0,122.0,116.0,68.0,80.0,74.0,81.0,65.0,177.0,10414.0,2782.0,1346.0,1101.0,1043.0,855.0,855.0,620.0,595.0,512.0,924.0,991.0,602.0,624.0,531.0,626.0,561.0,530.0,655.0,441.0,381.0,412.0,600.0,545.0,572.0,10506.0,3168.0,1737.0,1557.0,1319.0,1124.0,1247.0,921.0,1280.0,1215.0,1226.0,1224.0,1283.0
Shadow of the Tomb Raider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,5.0,18142.0,7223.0,4584.0,4759.0,4126.0,3580.0,3041.0,2646.0,2215.0,1977.0,2074.0,1911.0,1613.0,1337.0,1564.0,1961.0,1953.0,1594.0,2547.0,2219.0,2128.0,1819.0,2055.0,1683.0,1410.0,1290.0,1571.0,1572.0,9970.0,4584.0,3367.0
Slay the Spire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,94.0,442.0,7848.0,10677.0,6672.0,4929.0,5073.0,4765.0,5581.0,3529.0,3329.0,3257.0,3992.0,4494.0,5936.0,4094.0,3684.0,2786.0,2789.0,3080.0,2989.0,3574.0,3643.0,2744.0,2385.0,2912.0,4871.0,3660.0,3804.0,2877.0,2822.0,2323.0,2506.0,2542.0,2324.0,2367.0,2650.0,3196.0,3741.0,3109.0,2957.0
Sleeping Dogs,836.0,623.0,564.0,633.0,618.0,441.0,607.0,414.0,555.0,420.0,421.0,2180.0,622.0,594.0,381.0,226.0,453.0,390.0,426.0,413.0,434.0,373.0,341.0,331.0,558.0,450.0,659.0,536.0,527.0,596.0,465.0,590.0,402.0,401.0,330.0,325.0,436.0,389.0,438.0,363.0,382.0,534.0,633.0,597.0,391.0,322.0,325.0,334.0,376.0,330.0,541.0,538.0,746.0,606.0,683.0,746.0,630.0,600.0,824.0,701.0,638.0,551.0,604.0
Sniper Elite 4,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3662.0,1339.0,834.0,880.0,1106.0,1396.0,977.0,571.0,488.0,662.0,773.0,889.0,741.0,700.0,644.0,624.0,730.0,838.0,2345.0,1378.0,879.0,1391.0,1198.0,1159.0,852.0,807.0,1143.0,998.0,810.0,1050.0,10261.0,2574.0,1219.0,920.0,949.0,1049.0,843.0,903.0,984.0,967.0,846.0,1102.0,949.0,888.0,1147.0,1115.0,1232.0,1454.0,1285.0,1238.0
