name,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01
60 Seconds!,0.0,0.0,0.0,43.0,5.0,3.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,20.0,27.0,5.0,1.0,2.0,13.0,20.0,2.0,1.0,0.0,0.0,42.0,3.0,7.0,55.0,2.0,2.0,4.0,2.0
7 Days to Die,0.0,0.0,0.0,2.0,1.0,6.0,104.0,35.0,15.0,12.0,17.0,19.0,16.0,10.0,11.0,4.0,7.0,205.0,139.0,23.0,23.0,16.0,8.0,21.0,18.0,22.0,80.0,23.0,38.0,33.0,19.0,15.0,17.0,20.0,40.0,29.0,79.0,22.0,16.0,13.0,11.0,10.0,10.0,16.0,12.0,67.0,96.0,26.0,22.0,24.0,24.0,44.0,30.0,115.0,117.0,131.0,37.0,28.0,32.0,40.0,36.0,25.0,22.0
A Plague Tale: Innocence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,17.0,9.0,5.0,2.0,4.0,1.0,2.0,17.0,35.0,8.0,15.0,13.0,17.0,10.0,10.0,29.0,3.0,10.0,17.0,6.0,3.0,4.0
A Total War Saga: Troy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,10.0,2.0,0.0,1.0,19.0,0.0,0.0
A Way Out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,24.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,8.0,3.0,4.0,2.0,2.0,3.0,5.0,1.0,1.0,6.0,1.0,23.0,11.0,6.0,68.0,3.0,10.0,3.0,6.0,2.0,3.0,4.0,5.0,8.0,23.0
ARK: Survival Evolved,90.0,233.0,114.0,57.0,69.0,82.0,70.0,52.0,316.0,58.0,55.0,195.0,447.0,461.0,230.0,99.0,77.0,148.0,164.0,86.0,142.0,142.0,120.0,472.0,246.0,135.0,141.0,100.0,73.0,132.0,296.0,204.0,133.0,288.0,565.0,233.0,103.0,143.0,222.0,243.0,161.0,181.0,250.0,157.0,100.0,119.0,92.0,107.0,141.0,297.0,434.0,146.0,172.0,238.0,210.0,137.0,155.0,186.0,289.0,186.0,267.0,255.0,285.0
ASTRONEER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,109.0,3.0,0.0,17.0,149.0,11.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,47.0,6.0,3.0,5.0,284.0,15.0,4.0,2.0,1.0,2.0,5.0,3.0,13.0,2.0,8.0
Age of Empires II,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,2.0,2.0,6.0,11.0,9.0,5.0,8.0,11.0,13.0,128.0,114.0,17.0,10.0,13.0,13.0,13.0,10.0,6.0,10.0,4.0,12.0,3.0,49.0,11.0,9.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,53.0,431.0,342.0,273.0,362.0,251.0,314.0
Age of Empires II: Definitive Edition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,735.0,1118.0,301.0,1022.0,216.0,263.0,191.0,233.0,1009.0,455.0,0.0,0.0,0.0,0.0,0.0,3.0
Age of Empires II: HD Edition,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,2.0,0.0,0.0,1.0,5.0,4.0,0.0,3.0,0.0,13.0,170.0,139.0,35.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
