name,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01
7 Days to Die,0.0,3.0,3.0,6.0,4.0,16.0,29.0,19.0,15.0,12.0,15.0,14.0,12.0,13.0,10.0,7.0,10.0,19.0,21.0,15.0,15.0,14.0,9.0,10.0,15.0,14.0,12.0,16.0,11.0,12.0,9.0,11.0,13.0,13.0,20.0,18.0,15.0,13.0,13.0,13.0,12.0,11.0,12.0,13.0,10.0,21.0,25.0,17.0,14.0,15.0,21.0,19.0,17.0,17.0,20.0,20.0,19.0,16.0,17.0,21.0,22.0,19.0,23.0
A Plague Tale: Innocence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,123.0,14.0,5.0,5.0,5.0,3.0,3.0,6.0,9.0,12.0,8.0,10.0,9.0,9.0,8.0,7.0,6.0,6.0,9.0,7.0,6.0,7.0,5.0
A Total War Saga: Troy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,5.0,4.0,2.0,3.0,4.0,4.0,2.0
A Way Out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,105.0,17.0,6.0,6.0,7.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,6.0,6.0,5.0,4.0,6.0,4.0,6.0,6.0,5.0,10.0,8.0,8.0,8.0,12.0
ANAREA Battle Royale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
ARK: Survival Evolved,0.0,20.0,18.0,18.0,24.0,17.0,21.0,18.0,27.0,15.0,17.0,44.0,45.0,48.0,33.0,27.0,23.0,32.0,32.0,32.0,38.0,30.0,24.0,55.0,36.0,32.0,37.0,30.0,25.0,33.0,32.0,30.0,22.0,30.0,62.0,33.0,20.0,19.0,29.0,30.0,25.0,33.0,29.0,32.0,27.0,29.0,25.0,25.0,25.0,75.0,51.0,36.0,43.0,50.0,38.0,29.0,32.0,29.0,42.0,31.0,57.0,54.0,51.0
ARMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ASTRONEER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,7.0,7.0,3.0,5.0,13.0,8.0,4.0,4.0,5.0,6.0,3.0,5.0,4.0,6.0,5.0,7.0,7.0,8.0,7.0,9.0,9.0,6.0,5.0,4.0,4.0,10.0,8.0,8.0,6.0,4.0
Absolver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,9.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,6.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
Age of Empires II: Definitive Edition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,25.0,30.0,17.0,48.0,24.0,15.0,12.0,10.0,19.0,16.0,0.0,1.0,1.0,1.0,1.0,5.0
